time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-09-28T19:56:28.995Z,38.0262,69.91,42.053,4.4,mb,38,215,0.949,1.32,us,us7000nh0t,2024-09-28T22:30:44.040Z,"13 km SW of Mŭ’minobod, Tajikistan",earthquake,5.62,8.496,0.092,34,reviewed,us,us
2024-09-28T19:41:21.970Z,51.5501666666667,-177.062833333333,12.89,3.23,ml,22,227,0.2373,0.25,av,av93289808,2024-09-29T21:40:25.630Z,"46 km SW of Adak, Alaska",earthquake,1.06,1.26,0.28031548238941,21,reviewed,av,av
2024-09-28T19:34:18.702Z,56.8247,-155.4064,30.6,2.6,ml,,,,0.71,ak,ak024ci5oylq,2024-09-28T22:09:36.040Z,"76 km W of Akhiok, Alaska",earthquake,,1.5,,,automatic,ak,ak
2024-09-28T19:12:09.277Z,11.8363,-73.5207,10,4.5,mb,47,62,3.505,0.9,us,us7000nh0q,2024-09-28T19:29:46.040Z,"66 km NNW of Dibulla, Colombia",earthquake,3.92,1.918,0.058,88,reviewed,us,us
2024-09-28T18:47:14.461Z,51.0074,-176.2648,10.1,3.6,ml,,,,0.38,ak,ak024ci56b5l,2024-09-29T06:04:53.794Z,"99 km SSE of Adak, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2024-09-28T18:28:15.460Z,3.1922,125.6232,164.733,4.6,mb,76,68,2.969,0.77,us,us7000nh0m,2024-09-28T22:01:01.040Z,"201 km NNE of Bitung, Indonesia",earthquake,6.56,7.219,0.063,82,reviewed,us,us
2024-09-28T17:23:02.474Z,0.1683,-77.5497,155.159,2.9,ml,8,244,0.594,0.68,us,us7000nh0g,2024-09-28T17:35:20.040Z,"50 km ESE of Pimampiro, Ecuador",earthquake,8.83,12.522,0.097,14,reviewed,us,us
2024-09-28T17:09:55.172Z,3.0599,122.4001,539.486,4.5,mb,127,35,2.522,0.54,us,us7000nh0f,2024-09-28T21:11:46.040Z,"288 km NNW of Gorontalo, Indonesia",earthquake,9.8,6.428,0.052,119,reviewed,us,us
2024-09-28T16:52:40.721Z,-15.4017,-178.7344,10,4.9,mb,61,125,1.239,0.65,us,us7000nh0b,2024-09-28T17:26:18.040Z,"137 km SSW of Leava, Wallis and Futuna",earthquake,4.18,1.852,0.073,59,reviewed,us,us
2024-09-28T15:43:06.084Z,80.0092,137.186,10,4.9,mb,179,78,8.649,0.68,us,us7000ngzz,2024-09-28T17:04:20.040Z,"Lomonosov Ridge",earthquake,9.31,1.796,0.029,377,reviewed,us,us
2024-09-28T15:40:47.777Z,-11.0417,161.399,15.819,5,mww,86,44,2.14,0.63,us,us7000ngzw,2024-09-28T16:06:45.040Z,"86 km SW of Kirakira, Solomon Islands",earthquake,8.25,3.932,0.089,12,reviewed,us,us
